date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:38	135935/135935	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2006:09:39%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/index.html	(from )
11:39:38	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Apr%202023%2006:09:39%20GMT	https://demos.themeselection.com/robots.txt		(from )
11:39:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2028%20Apr%202023%2006:09:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/template/project2/www.googletagmanager.com/gtm.05445.delayed	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
11:39:39	64872/64872	---M--	200	added ('OK')	text/css	etag:%2263f4b9f5-fd68%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/boxicons.css?id=87122b3a3900320673311cebdeb618da	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/boxiconsc4a7.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
11:39:39	96835/96835	---M--	200	added ('OK')	text/css	etag:%2263f4b9f5-17a43%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/fontawesome.css?id=89157e39c524ff7f679d3aebf872b7b9	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/fontawesome5cae.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
11:39:39	30528/30528	---M--	200	added ('OK')	text/css	etag:%2263f4b9f5-7740%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/flag-icons.css?id=403b97c176f3cdf56a3cbf09107ee240	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/flag-icons5883.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
11:39:39	559824/559824	---M--	200	added ('OK')	text/css	etag:%2263f4b9f5-88ad0%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/core.css?id=f1cefeba0c68d327230d2f6538f276fa	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/coref43c.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
11:39:39	48127/48127	---M--	200	added ('OK')	text/css	etag:%2263f4b9f5-bbff%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/theme-default.css?id=cc3d4ef91c8c858754d8ed20c78a3a3c	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/theme-default56b8.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
11:39:40	2749/2749	---M--	200	added ('OK')	text/css	etag:%2263f4b9f4-abd%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/css/demo.css?id=24b55ca26d6f2bafc5a21ff5a4bcdfb3	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/css/democb2e.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
11:39:40	5206/5206	---M--	200	added ('OK')	text/css	etag:%2263f4b9f4-1456%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css?id=d9fa6469688548dca3b7e6bd32cb0dc6	E:/template/project2/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/libs/perfect-scrollbar/perfect-scrollbarb440.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
