date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:19	120258/120258	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:45%20GMT	https://templates.envytheme.com/finlex/default/index.html	E:/temp2/dk/templates.envytheme.com/finlex/default/index.html	(from )
16:07:20	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Apr%202023%2010:37:20%20GMT	https://templates.envytheme.com/robots.txt		(from )
16:07:20	163831/163831	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a91-27ff7%22	https://templates.envytheme.com/finlex/default/assets/css/bootstrap.min.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:20	1018/1018	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a92-3fa%22	https://templates.envytheme.com/finlex/default/assets/css/owl.theme.default.min.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:20	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a92-d1c%22	https://templates.envytheme.com/finlex/default/assets/css/owl.carousel.min.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:21	112869/112869	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a92-1b8e5%22	https://templates.envytheme.com/finlex/default/assets/css/remixicon.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/remixicon.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:21	2619/2619	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a91-a3b%22	https://templates.envytheme.com/finlex/default/assets/css/meanmenu.min.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/meanmenu.min.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:21	60569/60569	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a91-ec99%22	https://templates.envytheme.com/finlex/default/assets/css/animate.min.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/animate.min.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:21	5235/5235	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a91-1473%22	https://templates.envytheme.com/finlex/default/assets/css/magnific-popup.min.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:22	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a91-c2c%22	https://templates.envytheme.com/finlex/default/assets/css/odometer.min.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:22	23947/23947	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a93-5d8b%22	https://templates.envytheme.com/finlex/default/assets/css/style.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/style.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:22	2315/2315	---MCZ	200	added ('OK')	text/css	etag:W/%2261c19a92-90b%22	https://templates.envytheme.com/finlex/default/assets/css/responsive.css	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/css/responsive.css	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:22	803/803	---M--	200	added ('OK')	image/png	etag:%2261c19a9b-59d%22	https://templates.envytheme.com/finlex/default/assets/images/favicon.png	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/images/favicon.png	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:23	2922/2922	---M--	200	added ('OK')	image/png	etag:%2261c19a9c-131e%22	https://templates.envytheme.com/finlex/default/assets/images/logo.png	E:/temp2/dk/templates.envytheme.com/finlex/default/assets/images/logo.png	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:23	85952/85952	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:45%20GMT	https://templates.envytheme.com/finlex/default/index-2.html	E:/temp2/dk/templates.envytheme.com/finlex/default/index-2.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:23	77201/77201	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:45%20GMT	https://templates.envytheme.com/finlex/default/index-3.html	E:/temp2/dk/templates.envytheme.com/finlex/default/index-3.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:23	27644/27644	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:44%20GMT	https://templates.envytheme.com/finlex/default/about.html	E:/temp2/dk/templates.envytheme.com/finlex/default/about.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:24	97592/97592	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:47%20GMT	https://templates.envytheme.com/finlex/default/product.html	E:/temp2/dk/templates.envytheme.com/finlex/default/product.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:24	63759/63759	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:43%20GMT	https://templates.envytheme.com/finlex/default/all-product.html	E:/temp2/dk/templates.envytheme.com/finlex/default/all-product.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:24	37050/37050	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:46%20GMT	https://templates.envytheme.com/finlex/default/product-details-left-sidebar.html	E:/temp2/dk/templates.envytheme.com/finlex/default/product-details-left-sidebar.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:24	37117/37117	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:46%20GMT	https://templates.envytheme.com/finlex/default/product-details-right-sidebar.html	E:/temp2/dk/templates.envytheme.com/finlex/default/product-details-right-sidebar.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:25	32662/32662	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:46%20GMT	https://templates.envytheme.com/finlex/default/product-details.html	E:/temp2/dk/templates.envytheme.com/finlex/default/product-details.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:25	22569/22569	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:45%20GMT	https://templates.envytheme.com/finlex/default/confirmation.html	E:/temp2/dk/templates.envytheme.com/finlex/default/confirmation.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:25	27940/27940	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:44%20GMT	https://templates.envytheme.com/finlex/default/cart.html	E:/temp2/dk/templates.envytheme.com/finlex/default/cart.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:25	28575/28575	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:44%20GMT	https://templates.envytheme.com/finlex/default/checkout.html	E:/temp2/dk/templates.envytheme.com/finlex/default/checkout.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:26	25389/25389	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:48%20GMT	https://templates.envytheme.com/finlex/default/wishlist.html	E:/temp2/dk/templates.envytheme.com/finlex/default/wishlist.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:26	22423/22423	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:46%20GMT	https://templates.envytheme.com/finlex/default/log-in.html	E:/temp2/dk/templates.envytheme.com/finlex/default/log-in.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:26	23158/23158	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:47%20GMT	https://templates.envytheme.com/finlex/default/register.html	E:/temp2/dk/templates.envytheme.com/finlex/default/register.html	(from https://templates.envytheme.com/finlex/default/index.html)
16:07:26	25471/25471	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Dec%202021%2009:12:46%20GMT	https://templates.envytheme.com/finlex/default/my-account.html	E:/temp2/dk/templates.envytheme.com/finlex/default/my-account.html	(from https://templates.envytheme.com/finlex/default/index.html)
